PassengerId,Survived,check,final
892,0,[0.58393127],1
893,1,[0.7069797],1
894,0,[0.9116761],1
895,0,[0.5279046],1
896,1,[0.44598743],0
897,1,[0.42306462],0
898,1,[0.66010076],1
899,1,[0.6329379],1
900,1,[0.5681385],1
901,0,[0.32027492],0
902,0,[0.47926018],0
903,0,[0.9479211],1
904,1,[0.90677595],1
905,0,[0.8841142],1
906,1,[0.95494866],1
907,1,[0.77220416],1
908,0,[0.811217],1
909,0,[0.47926018],0
910,0,[0.55764794],1
911,1,[0.75961995],1
912,0,[0.9457755],1
913,1,[0.5731638],1
914,1,[0.92721844],1
915,1,[0.8586176],1
916,1,[0.90270174],1
917,0,[0.62796414],1
918,1,[0.90812474],1
919,0,[0.48736522],0
920,0,[0.9393021],1
921,0,[0.32027492],0
922,0,[0.83341706],1
923,0,[0.6062103],1
924,1,[0.46353877],0
925,0,[0.36921462],0
926,1,[0.8856897],1
927,0,[0.45502746],0
928,1,[0.59185296],1
929,0,[0.59185296],1
930,1,[0.5117031],1
931,1,[0.47926018],0
932,1,[0.5535399],1
933,0,[0.8899361],1
934,0,[0.6378701],1
935,0,[0.8519896],1
936,1,[0.9520721],1
937,0,[0.5117031],1
938,1,[0.9462953],1
939,0,[0.47926018],0
940,1,[0.97199565],1
941,1,[0.5710208],1
942,0,[0.86444485],1
943,0,[0.76821905],1
944,1,[0.6153806],1
945,1,[0.7676707],1
946,0,[0.73175424],1
947,0,[0.1379443],0
948,0,[0.59179485],1
949,1,[0.5117031],1
950,0,[0.39705342],0
951,1,[0.9536519],1
952,0,[0.4469913],0
953,0,[0.7958518],1
954,0,[0.45502746],0
955,1,[0.59966946],1
956,1,[0.64301276],1
957,0,[0.81125396],1
958,0,[0.5681385],1
959,0,[0.94950026],1
960,1,[0.91793823],1
961,1,[0.91140085],1
962,1,[0.6151474],1
963,0,[0.47926018],0
964,0,[0.65278107],1
965,0,[0.91029865],1
966,1,[0.9522559],1
967,0,[0.92035025],1
968,0,[0.47926018],0
969,1,[0.95160526],1
970,0,[0.78510255],1
971,0,[0.6151474],1
972,0,[0.546093],1
973,0,[0.962614],1
974,0,[0.95252365],1
975,0,[0.47926018],0
976,0,[0.73175424],1
977,0,[0.39705342],0
978,0,[0.63792574],1
979,1,[0.5681385],1
980,0,[0.59185296],1
981,1,[0.892743],1
982,1,[0.5173273],1
983,0,[0.47926018],0
984,1,[0.86202955],1
985,0,[0.47926018],0
986,0,[0.90202385],1
987,1,[0.5117031],1
988,1,[0.979788],1
989,0,[0.5440476],1
990,0,[0.58398986],1
991,0,[0.57602483],1
992,1,[0.9490215],1
993,0,[0.7033979],1
994,0,[0.47926018],0
995,1,[0.51980907],1
996,1,[0.39851937],0
997,0,[0.53598547],1
998,1,[0.47926018],0
999,1,[0.47926018],0
1000,0,[0.47926018],0
1001,0,[0.71221584],1
1002,0,[0.8392529],1
1003,1,[0.59185296],1
1004,0,[0.9536519],1
1005,0,[0.5681385],1
1006,0,[0.97269934],1
1007,0,[0.37399203],0
1008,0,[0.47926018],0
1009,1,[0.92152715],1
1010,0,[0.9293628],1
1011,0,[0.7994856],1
1012,1,[0.76243335],1
1013,0,[0.39705342],0
1014,1,[0.93489134],1
1015,0,[0.53598547],1
1016,1,[0.47926018],0
1017,1,[0.4888942],0
1018,0,[0.48736522],0
1019,1,[0.42607808],0
1020,0,[0.8435835],1
1021,0,[0.5035909],1
1022,0,[0.5680793],1
1023,1,[0.9580616],1
1024,0,[0.3248331],0
1025,0,[0.39705342],0
1026,0,[0.6527265],1
1027,0,[0.5035909],1
1028,0,[0.51980907],1
1029,0,[0.7623896],1
1030,1,[0.6074354],1
1031,0,[0.20277499],0
1032,0,[0.13589208],0
1033,1,[0.9493436],1
1034,0,[0.89979184],1
1035,0,[0.773948],1
1036,0,[0.9411264],1
1037,0,[0.31806242],0
1038,0,[0.8899361],1
1039,0,[0.48736522],0
1040,0,[0.8899361],1
1041,0,[0.6625477],1
1042,1,[0.9107971],1
1043,0,[0.47926018],0
1044,0,[0.7654532],1
1045,0,[0.5710208],1
1046,0,[0.13645847],0
1047,1,[0.5035909],1
1048,1,[0.9429122],1
1049,1,[0.6074354],1
1050,0,[0.9411264],1
1051,0,[0.49036327],0
1052,1,[0.59185296],1
1053,1,[0.4424488],0
1054,1,[0.834859],1
1055,0,[0.47926018],0
1056,0,[0.8392529],1
1057,1,[0.47824648],0
1058,0,[0.9510341],1
1059,0,[0.19429386],0
1060,1,[0.92721844],1
1061,1,[0.59966946],1
1062,0,[0.47926018],0
1063,0,[0.5279046],1
1064,0,[0.41269293],0
1065,0,[0.47926018],0
1066,0,[0.22578874],0
1067,1,[0.66618264],1
1068,1,[0.8062339],1
1069,1,[0.94408673],1
1070,1,[0.74769026],1
1071,1,[0.9666863],1
1072,0,[0.78510255],1
1073,0,[0.8795753],1
1074,1,[0.89212227],1
1075,0,[0.47926018],0
1076,1,[0.8926868],1
1077,0,[0.83482575],1
1078,1,[0.76349646],1
1079,0,[0.29269388],0
1080,0,[0.08208958],0
1081,0,[0.83482575],1
1082,0,[0.7485192],1
1083,1,[0.8899361],1
1084,0,[0.26336324],0
1085,0,[0.90902746],1
1086,1,[0.84344345],1
1087,0,[0.57602483],1
1088,1,[0.9066325],1
1089,1,[0.5681385],1
1090,0,[0.744303],1
1091,0,[0.59185296],1
1092,1,[0.59185296],1
1093,0,[0.9613644],1
1094,0,[0.93081117],1
1095,1,[0.60234714],1
1096,0,[0.7564601],1
1097,1,[0.8899361],1
1098,0,[0.6955143],1
1099,1,[0.75043094],1
1100,1,[0.9493436],1
1101,0,[0.5117031],1
1102,0,[0.5680793],1
1103,1,[0.47926018],0
1104,0,[0.70551777],1
1105,0,[0.9160037],1
1106,0,[0.27129292],0
1107,0,[0.9411264],1
1108,0,[0.59185296],1
1109,0,[0.9332397],1
1110,1,[0.9460885],1
1111,0,[0.47926018],0
1112,1,[0.8046383],1
1113,0,[0.47926018],0
1114,1,[0.8161736],1
1115,1,[0.47926018],0
1116,1,[0.9683972],1
1117,1,[0.44995895],0
1118,1,[0.49547687],0
1119,0,[0.59185296],1
1120,0,[0.63033974],1
1121,0,[0.81613755],1
1122,0,[0.6848913],1
1123,1,[0.92721844],1
1124,0,[0.39705342],0
1125,0,[0.47926018],0
1126,0,[0.91210103],1
1127,0,[0.47116607],0
1128,0,[0.9589475],1
1129,0,[0.47116607],0
1130,0,[0.67695725],1
1131,1,[0.95632464],1
1132,1,[0.9694687],1
1133,1,[0.8408649],1
1134,1,[0.9044839],1
1135,1,[0.47926018],0
1136,0,[0.2708676],0
1137,0,[0.9171681],1
1138,0,[0.8161736],1
1139,0,[0.7434832],1
1140,1,[0.7994856],1
1141,0,[0.50921893],1
1142,1,[0.9447682],1
1143,1,[0.47116607],0
1144,0,[0.8754554],1
1145,0,[0.5035909],1
1146,0,[0.5680793],1
1147,0,[0.47926018],0
1148,0,[0.47926018],0
1149,0,[0.53598547],1
1150,1,[0.801113],1
1151,1,[0.47926018],0
1152,1,[0.51726705],1
1153,0,[0.47926018],0
1154,1,[0.7586636],1
1155,0,[0.92152715],1
1156,1,[0.78510255],1
1157,0,[0.47926018],0
1158,0,[0.8899361],1
1159,0,[0.47926018],0
1160,1,[0.59185296],1
1161,0,[0.4469913],0
1162,0,[0.9479211],1
1163,0,[0.47926018],0
1164,1,[0.9146874],1
1165,0,[0.50921893],1
1166,0,[0.47926018],0
1167,1,[0.7485645],1
1168,0,[0.773948],1
1169,0,[0.7833797],1
1170,0,[0.7233025],1
1171,1,[0.7380771],1
1172,0,[0.6074354],1
1173,0,[0.925585],1
1174,0,[0.59185296],1
1175,1,[0.34550953],0
1176,0,[0.895971],1
1177,0,[0.5996115],1
1178,0,[0.47926018],0
1179,1,[0.86444485],1
1180,0,[0.47926018],0
1181,0,[0.47926018],0
1182,1,[0.8899361],1
1183,1,[0.66010076],1
1184,0,[0.47926018],0
1185,1,[0.9246816],1
1186,0,[0.5996115],1
1187,0,[0.51980907],1
1188,1,[0.93645453],1
1189,0,[0.32027492],0
1190,0,[0.91546],1
1191,0,[0.5440476],1
1192,1,[0.5680793],1
1193,0,[0.73175424],1
1194,0,[0.807113],1
1195,0,[0.5035909],1
1196,1,[0.59185296],1
1197,1,[0.96508807],1
1198,0,[0.81381357],1
1199,1,[0.95509064],1
1200,0,[0.92907983],1
1201,1,[0.69335383],1
1202,0,[0.45502746],0
1203,1,[0.48736522],0
1204,0,[0.47926018],0
1205,0,[0.70908445],1
1206,1,[0.9694687],1
1207,0,[0.560158],1
1208,0,[0.9490099],1
1209,0,[0.7188223],1
1210,0,[0.5279046],1
1211,0,[0.59061205],1
1212,0,[0.51980907],1
1213,1,[0.5117031],1
1214,0,[0.7623896],1
1215,0,[0.92269725],1
1216,1,[0.95761013],1
1217,0,[0.49547687],0
1218,1,[0.5523898],1
1219,0,[0.9479211],1
1220,0,[0.71675974],1
1221,0,[0.73175424],1
1222,1,[0.853466],1
1223,0,[0.9354938],1
1224,0,[0.47926018],0
1225,1,[0.42207342],0
1226,0,[0.5279046],1
1227,0,[0.91546],1
1228,0,[0.7958518],1
1229,0,[0.48219502],0
1230,0,[0.7564601],1
1231,0,[0.47926018],0
1232,0,[0.71221584],1
1233,1,[0.5680793],1
1234,0,[0.5173314],1
1235,1,[0.9676908],1
1236,0,[0.33092788],0
1237,1,[0.55214626],1
1238,0,[0.7623896],1
1239,1,[0.71573406],1
1240,0,[0.75043094],1
1241,1,[0.8560359],1
1242,1,[0.954238],1
1243,0,[0.7564601],1
1244,0,[0.71221584],1
1245,0,[0.7320633],1
1246,1,[0.94597304],1
1247,0,[0.9539701],1
1248,1,[0.9572456],1
1249,0,[0.47926018],0
1250,1,[0.47926018],0
1251,0,[0.5815142],1
1252,0,[0.07277223],0
1253,1,[0.71800053],1
1254,1,[0.8560359],1
1255,0,[0.5279046],1
1256,1,[0.9121204],1
1257,0,[0.56169456],1
1258,0,[0.39705342],0
1259,0,[0.59966946],1
1260,1,[0.954238],1
1261,1,[0.7795758],1
1262,0,[0.6612322],1
1263,1,[0.9462635],1
1264,1,[0.95252365],1
1265,0,[0.85195905],1
1266,1,[0.9523396],1
1267,1,[0.96360254],1
1268,0,[0.43403336],0
1269,0,[0.73175424],1
1270,0,[0.96059364],1
1271,0,[0.14038865],0
1272,0,[0.47926018],0
1273,0,[0.51980907],1
1274,0,[0.59185296],1
1275,0,[0.49299195],0
1276,0,[0.73175424],1
1277,1,[0.6566344],1
1278,0,[0.5035909],1
1279,0,[0.89770585],1
1280,0,[0.47926018],0
1281,0,[0.16218482],0
1282,0,[0.8961354],1
1283,1,[0.9620282],1
1284,0,[0.33934262],0
1285,0,[0.863824],1
1286,1,[0.24715596],0
1287,1,[0.89212227],1
1288,0,[0.5035909],1
1289,1,[0.94268006],1
1290,0,[0.48736522],0
1291,0,[0.5600987],1
1292,1,[0.9446343],1
1293,0,[0.7721616],1
1294,1,[0.90812474],1
1295,0,[0.87656116],1
1296,1,[0.9219679],1
1297,1,[0.7253355],1
1298,0,[0.6756176],1
1299,0,[0.9176135],1
1300,1,[0.59185296],1
1301,0,[0.8503198],1
1302,0,[0.59185296],1
1303,1,[0.93873274],1
1304,0,[0.6453884],1
1305,0,[0.47926018],0
1306,1,[0.95761013],1
1307,0,[0.6150904],1
1308,0,[0.47926018],0
1309,1,[0.33092788],0
